City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kayerkan,RU,2020-02-21 19:00:00,69.35,87.76,12.2,85,98,13.42
70,Oranjemund,NA,2020-02-21 18:55:06,-28.55,16.43,65.25,85,16,16.75
71,Yaan,NG,2020-02-21 19:00:01,7.38,8.57,92.66,13,6,4.9
72,Komsomolskiy,UZ,2020-02-21 19:00:01,40.43,71.72,41.0,44,97,4.7
73,Saint-Philippe,RE,2020-02-21 19:00:02,-21.36,55.77,78.8,69,20,17.22
74,Ponta Do Sol,PT,2020-02-21 19:00:02,32.67,-17.1,57.2,76,75,5.82
75,Kedrovoye,RU,2020-02-21 19:00:03,57.16,60.57,24.8,92,40,4.47
76,Port Alfred,ZA,2020-02-21 19:00:03,-33.59,26.89,72.0,90,15,15.55
77,Nizhniy Kuranakh,RU,2020-02-21 19:00:03,58.84,125.49,8.4,94,100,9.26
78,Atar,MR,2020-02-21 19:00:04,20.52,-13.05,91.9,7,0,17.02
79,Thompson,CA,2020-02-21 18:56:47,55.74,-97.86,33.8,55,20,13.87
80,Acarau,BR,2020-02-21 19:00:04,-2.89,-40.12,80.2,87,99,3.53
81,Port Hawkesbury,CA,2020-02-21 19:00:04,45.62,-61.35,18.0,56,1,10.29
82,Camana,PE,2020-02-21 19:00:05,-16.62,-72.71,75.38,64,100,11.03
83,Gambela,ET,2020-02-21 19:00:05,8.25,34.58,87.06,40,4,5.64
84,Hambantota,LK,2020-02-21 19:00:05,6.12,81.12,78.8,100,40,6.93
85,Saint George,US,2020-02-21 19:00:06,37.1,-113.58,59.0,15,1,6.93
86,New Norfolk,AU,2020-02-21 19:00:06,-42.78,147.06,46.4,70,92,6.93
87,Pevek,RU,2020-02-21 19:00:07,69.7,170.31,-8.91,98,100,12.41
88,Saskylakh,RU,2020-02-21 19:00:07,71.92,114.08,-1.01,96,99,9.89
89,Ankara,TR,2020-02-21 18:58:24,39.92,32.85,41.0,80,75,4.7
90,Astana,KZ,2020-02-21 19:00:08,51.18,71.45,19.4,79,100,8.95
91,Gainesville,US,2020-02-21 18:59:02,29.65,-82.32,48.0,70,90,17.22
92,Lavumisa,SZ,2020-02-21 19:00:09,-27.31,31.89,72.23,97,39,1.52
93,Port Lincoln,AU,2020-02-21 19:00:09,-34.73,135.87,60.33,83,11,12.91
94,Bluff,NZ,2020-02-21 19:00:09,-46.6,168.33,50.0,91,83,3.0
95,Cidreira,BR,2020-02-21 19:00:09,-30.18,-50.21,71.24,52,33,23.94
96,Oktyabrskiy,RU,2020-02-21 19:00:10,54.48,53.47,29.41,96,95,5.75
97,Port Elizabeth,ZA,2020-02-21 19:00:10,-33.92,25.57,69.8,88,40,8.05
98,Smithers,CA,2020-02-21 18:59:46,54.78,-127.17,42.8,35,75,21.92
